Serial Number,ID,Product ID,User ID,Created At,Opened,Updated At
,941cbef1-23b6-4ddd-9f4b-b2c00f54f403,9ff075e0-b15a-40ea-bbc5-2119bb4058c6,c7b5641a-3a0e-470d-92fa-10b03ccfa7c8,2025-07-23T00:36:34.512,true,2025-07-23T00:36:57.786
,14cb0c0e-f3c6-47fc-a0c9-3002bd0482ee,2caed816-68af-4c84-b92a-b0be7290e446,dda92bac-eedb-4b5d-af7b-15ece8511ab7,2025-05-13T13:38:07.862,true,2025-05-13T13:51:24.633
,8352ff26-6b91-4ca4-b535-e0f9074c468d,2caed816-68af-4c84-b92a-b0be7290e446,8bea236b-9bc9-42f9-8d29-fb55172ac1a9,2025-05-14T16:13:02.468,false,2025-05-14T16:13:02.468
,a5d49dc2-7fdd-4dd7-bebc-be905b737bfa,b5ec7e8e-a39c-40f1-9bcc-a6fa219ed0f6,dda92bac-eedb-4b5d-af7b-15ece8511ab7,2025-05-15T11:42:36.428,false,2025-05-15T11:42:36.428
,5a968cfe-da8e-4ee7-addd-5c804cca14a8,0f4f7b97-23cf-474e-b84e-e254864d1ebd,b727849b-5805-4c83-a9e0-34dfe8162c25,2025-05-16T17:07:59.739,true,2025-05-16T17:10:09.401
,db6fddd6-768b-468a-8b6b-1b30715838d4,2caed816-68af-4c84-b92a-b0be7290e446,363782e0-6612-416b-89b4-a718093d527a,2025-06-12T17:17:20.271,true,2025-06-12T17:18:30.203
,fe73dc31-9b8b-43fc-8fdb-17d670921d45,9ff075e0-b15a-40ea-bbc5-2119bb4058c6,7669b9f6-e95a-4bfb-b7f0-cad9a549b465,2025-06-26T18:54:46.655,true,2025-06-26T18:55:25.446
,f78921c9-09f2-46a4-9496-6f5149539197,69429cb6-3b93-457a-8513-cb13a72533ca,5a6643a5-99fb-4864-ac40-12e97b3cd93a,2025-07-04T22:27:23.715,false,2025-07-04T22:27:23.715
,b832ff82-c112-4cf8-af91-24fdd911c1ef,9ff075e0-b15a-40ea-bbc5-2119bb4058c6,98750556-7530-421d-a98c-b913694a373f,2025-07-05T00:22:13.176,true,2025-07-05T00:52:07.45
,9cb5d8c4-4218-4b90-add4-b5602daa74e2,9ff075e0-b15a-40ea-bbc5-2119bb4058c6,98750556-7530-421d-a98c-b913694a373f,2025-07-05T00:53:50.974,false,2025-07-05T00:53:50.974
,9a97328a-c689-4b72-a937-4fae9ee8a1f2,69429cb6-3b93-457a-8513-cb13a72533ca,6ee290a6-4130-4336-be24-5c8436af07b3,2025-07-07T18:42:37.343,true,2025-07-07T18:43:00.499
,186a99e6-4607-4541-b5d8-cd78e0037242,b5ec7e8e-a39c-40f1-9bcc-a6fa219ed0f6,5f1fd36c-bdac-40e6-a891-f57f399369e5,2025-07-08T01:11:43.151,true,2025-07-08T01:13:12.763
,46104b4f-20f0-41d2-9a51-cb1afe29bb86,9ff075e0-b15a-40ea-bbc5-2119bb4058c6,5f1fd36c-bdac-40e6-a891-f57f399369e5,2025-07-08T01:09:08.761,true,2025-07-08T01:13:55.242
