ID,User ID,Boost ID,Status,Hash,Payment Method,Created At,Updated At,Subscription ID,Price
2056dfa6-0058-414c-9c5c-dee6f6c547bd,b727849b-5805-4c83-a9e0-34dfe8162c25,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_c11dvuniqikujcw4,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
2348ade9-4207-4cb3-8b9f-b56562eb7353,8bea236b-9bc9-42f9-8d29-fb55172ac1a9,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_3zglux2qibi2ko82,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
c0ddedc6-4dc4-4333-9adb-3bda487b0bc5,aec0b730-0063-412a-a076-84d8ac1c84bd,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_7turlecjvrsr6neg,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
2ac4884c-83bb-433b-804c-8e98feee10b3,aec0b730-0063-412a-a076-84d8ac1c84bd,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_94ptxudocf389483,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
5d63b6c7-3f58-47c7-bbea-8157995c8ae0,aec0b730-0063-412a-a076-84d8ac1c84bd,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_53ou7bn1lzuyucs7,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
a4bd5454-9bd5-45d4-ac36-e0c471c6d4eb,aec0b730-0063-412a-a076-84d8ac1c84bd,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_gfhfiizh1n8swgrv,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
97233500-2ff0-4ef7-876b-be1f462034f7,dda92bac-eedb-4b5d-af7b-15ece8511ab7,2add3aba-7923-43f6-8ee2-699b4e299110,ACTIVE,pay_1wf8ufd0xka6nd6f,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
4838e327-c574-4e40-81e1-8d0e5107c1f3,8bea236b-9bc9-42f9-8d29-fb55172ac1a9,2add3aba-7923-43f6-8ee2-699b4e299110,ACTIVE,pay_k75knrh6oy6gfcrj,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
3e6163b9-8d24-4b40-9809-86244b946179,aec0b730-0063-412a-a076-84d8ac1c84bd,2add3aba-7923-43f6-8ee2-699b4e299110,ACTIVE,pay_7pzkv5ek93yzy163,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
f29c9e12-c04c-4249-82a5-2ac015e8d6b3,396bfab5-a4fd-4bfb-afe3-5aec19ba9e79,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_6ahggygx6x10flh5,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
94087490-25e8-45d3-bd73-d936d8f3c306,aec0b730-0063-412a-a076-84d8ac1c84bd,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_zbggw55lsregf6vv,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
cc4ef579-99b2-4cf5-a8f0-59a6a905f0dc,f7f24227-4622-4dd2-af2b-ef868b074cd4,2add3aba-7923-43f6-8ee2-699b4e299110,ACTIVE,pay_yu3xb85qk2p6vx0a,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
0a61f35d-1ffa-4395-adb8-db5744d64427,b727849b-5805-4c83-a9e0-34dfe8162c25,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_afwks0n4ze1zyjas,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
41b6d45a-2898-413a-b7ae-47d3280beaa4,b727849b-5805-4c83-a9e0-34dfe8162c25,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_a8p73gxhcyak4va7,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
e0c8fe63-00a1-4c78-83b9-21c261e2d478,b727849b-5805-4c83-a9e0-34dfe8162c25,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_y2zej3zjbkvyevve,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
ce59c334-d831-4534-b9f4-8b867b763a84,b727849b-5805-4c83-a9e0-34dfe8162c25,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_dunfr3k58i0les4w,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
ef8cfaca-f759-4e1f-b3b4-d525dcb31e40,b727849b-5805-4c83-a9e0-34dfe8162c25,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_5gbp90hjhze0axlz,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
e35520d8-83f5-4f24-b698-891d7ea352a8,b727849b-5805-4c83-a9e0-34dfe8162c25,2add3aba-7923-43f6-8ee2-699b4e299110,ACTIVE,pay_m7sj2rh2uadcpaui,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
69c394fb-2a2f-4b54-bb31-4fbf1253391a,32217e6f-fa92-4a96-a620-9b25ad9bce6a,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_797dp6t055qs2oh6,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
ed44b096-0475-488d-a2ac-62dab579aa3b,32217e6f-fa92-4a96-a620-9b25ad9bce6a,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_mhi2z7a4hujwlzk8,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
25c85f37-4b1e-4c66-9201-fb659a707f78,32217e6f-fa92-4a96-a620-9b25ad9bce6a,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_4a8gx2j9tgjcfc5r,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
0097cf39-ddc9-48f7-b1ad-9848058d241b,32217e6f-fa92-4a96-a620-9b25ad9bce6a,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_d3voskkfucc3377n,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
e813d24c-47de-4fae-9cf2-5b4191c4a1bf,32217e6f-fa92-4a96-a620-9b25ad9bce6a,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_69xmcj2x1p27ilby,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
9e1611d5-d047-4e08-b9ee-6ec54909c822,32217e6f-fa92-4a96-a620-9b25ad9bce6a,2add3aba-7923-43f6-8ee2-699b4e299110,ACTIVE,pay_uqzqih6m8t0vil9w,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
cd282097-aa1d-43c9-b0f1-0ca340a9f92a,bef47159-622e-4c98-82c1-3d9ea6b8c642,2add3aba-7923-43f6-8ee2-699b4e299110,ACTIVE,pay_r1g5cqtr8hgvp67b,CREDIT_CARD,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
b4d2d418-f145-48df-abb6-bb8edf738a29,3225a5f8-b91a-43e8-a5f3-e63d6fbe50bc,2add3aba-7923-43f6-8ee2-699b4e299110,ACTIVE,pay_fc10whmhit7k1izb,CREDIT_CARD,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
4e6c84cd-3419-4ee8-939a-afe9a168a302,52733dd7-3606-474f-8ec5-e8a4413c6aa9,2add3aba-7923-43f6-8ee2-699b4e299110,ACTIVE,pay_i1phop571ww1xzy6,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
636261d7-b49f-4b34-a3a0-404f6ab57fdc,aec0b730-0063-412a-a076-84d8ac1c84bd,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_4cc6v6rtivlq06oi,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
e14438f8-f15d-426a-a9ce-4e7348d06a08,aec0b730-0063-412a-a076-84d8ac1c84bd,2add3aba-7923-43f6-8ee2-699b4e299110,INACTIVE,pay_ktzrvcfp6ep4mhcy,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
e852a667-a791-4b6c-bd39-b3b36af4fb7d,82c42ae9-a654-4adf-87d0-f6237cdbb225,2add3aba-7923-43f6-8ee2-699b4e299110,ACTIVE,pay_eoq7yq64k46z8fyg,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
37a5cf6a-2af5-47ef-bdfb-e19dd7592bab,b86a4023-623c-4976-a379-92a828f8cf30,2add3aba-7923-43f6-8ee2-699b4e299110,ACTIVE,pay_vzmqg36vnnhe7lvl,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
61ddd0ab-642c-470e-8d17-7bfece7a0ce1,4b7ba819-8598-46d3-b419-85e0d9947111,2add3aba-7923-43f6-8ee2-699b4e299110,ACTIVE,pay_z8wbw6zk9xft3ima,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
21ffdda7-6c6f-4906-8d51-ba806d4e065a,aec0b730-0063-412a-a076-84d8ac1c84bd,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_dmf5dbs4lx2hkvjc,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
f70cb34f-fbcf-44a7-8441-20562a73ba81,6ee290a6-4130-4336-be24-5c8436af07b3,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_rmt22ctvuee3zq8p,CREDIT_CARD,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
0b1821f5-d54e-44eb-b1fb-c83c212db9fd,98750556-7530-421d-a98c-b913694a373f,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_b0dfswiiraobd4h7,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
fbd8b382-376a-4a47-a156-081533345803,494ac9e8-c44c-4626-ae45-446e87ac3bff,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_o0ev3lp0o6q05qpr,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
b6b3828d-45b0-4ad3-bd0b-bbeb24cab853,494ac9e8-c44c-4626-ae45-446e87ac3bff,01146fd4-43f3-4814-b573-963ac0864017,ACTIVE,pay_9uw0qqkopme6rt8f,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
71186c53-a3b6-4a1a-a796-486913488f9f,aec0b730-0063-412a-a076-84d8ac1c84bd,01146fd4-43f3-4814-b573-963ac0864017,INACTIVE,pay_4vg6zp0gla1n2d94,PIX,2025-08-20T14:24:05.35,2025-08-20T14:24:05.35,,0.0
